participant_id,age,gender,education,job_role,years_experience,industry,organization_size,security_training
P1,34,Male,Masters,Security Analyst,8,Finance,Large,Advanced
P2,29,Female,Bachelors,Software Developer,5,Technology,Medium,Basic
P3,42,Male,PhD,CISO,15,Healthcare,Large,Advanced
P4,38,Male,Masters,Network Administrator,12,Government,Large,Intermediate
P5,31,Female,Bachelors,Security Engineer,7,Technology,Large,Advanced
P6,45,Male,Masters,IT Manager,18,Manufacturing,Medium,Intermediate
P7,27,Female,Bachelors,System Administrator,4,Education,Medium,Basic
P8,52,Male,Bachelors,CIO,20,Retail,Large,Intermediate
P9,36,Female,Masters,Security Consultant,10,Consulting,Small,Advanced
P10,41,Male,Masters,IT Director,14,Finance,Large,Advanced
P11,33,Female,Bachelors,Software Developer,6,Technology,Medium,Basic
P12,39,Male,PhD,Security Researcher,11,Research,Medium,Advanced
P13,28,Female,Bachelors,Help Desk Technician,3,Healthcare,Large,Basic
P14,47,Male,Masters,IT Auditor,16,Finance,Large,Advanced
P15,35,Female,Masters,Data Privacy Officer,9,Legal,Medium,Advanced
P16,44,Male,Bachelors,Network Engineer,13,Telecommunications,Large,Intermediate
P17,30,Female,Masters,Risk Analyst,5,Insurance,Large,Intermediate
P18,49,Male,PhD,IT Professor,22,Education,Large,Advanced
P19,32,Female,Bachelors,Web Developer,7,Media,Small,Basic
P20,37,Male,Masters,Database Administrator,10,Technology,Medium,Intermediate
